artist,song,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,clusters
The New York Community Choir,"I'll Keep My Light in My Window - 12"" Version",32,spotify:track:4CdIElRxsKNHa5WEwAHpgA,0.795,0.818,11,-6.156,1,0.0649,0.0749,8.12e-05,0.0958,0.967,113.657,audio_features,4CdIElRxsKNHa5WEwAHpgA,https://api.spotify.com/v1/tracks/4CdIElRxsKNHa5WEwAHpgA,https://api.spotify.com/v1/audio-analysis/4CdIElRxsKNHa5WEwAHpgA,359613,4,4
Phil Cordell,RED LADY,39,spotify:track:5UHNN2ftt5AQFQ0I7xPGta,0.493,0.851,6,-4.953,1,0.0304,0.53,0.00355,0.223,0.887,94.002,audio_features,5UHNN2ftt5AQFQ0I7xPGta,https://api.spotify.com/v1/tracks/5UHNN2ftt5AQFQ0I7xPGta,https://api.spotify.com/v1/audio-analysis/5UHNN2ftt5AQFQ0I7xPGta,150827,4,4
Caribou,Never Come Back - Koreless Remix,0,spotify:track:4Ne7tzHOOIPmGGKIupp6xv,0.627,0.714,10,-11.029,0,0.0334,0.0328,0.0124,0.0765,0.421,129.613,audio_features,4Ne7tzHOOIPmGGKIupp6xv,https://api.spotify.com/v1/tracks/4Ne7tzHOOIPmGGKIupp6xv,https://api.spotify.com/v1/audio-analysis/4Ne7tzHOOIPmGGKIupp6xv,244946,4,4
Captain Beefheart & His Magic Band,Observatory Crest,41,spotify:track:0FQcRQEGbJjNny5G0A2hle,0.64,0.405,7,-14.358,1,0.0441,0.679,0.652,0.115,0.587,95.119,audio_features,0FQcRQEGbJjNny5G0A2hle,https://api.spotify.com/v1/tracks/0FQcRQEGbJjNny5G0A2hle,https://api.spotify.com/v1/audio-analysis/0FQcRQEGbJjNny5G0A2hle,212907,4,5
Superlatives,I Don't Know How (To Say I Love You),0,spotify:track:2UfDRDtTRJ8uFR4U8cZZSd,0.77,0.862,10,-12.751,1,0.0769,0.113,1.84e-05,0.0659,0.733,95.041,audio_features,2UfDRDtTRJ8uFR4U8cZZSd,https://api.spotify.com/v1/tracks/2UfDRDtTRJ8uFR4U8cZZSd,https://api.spotify.com/v1/audio-analysis/2UfDRDtTRJ8uFR4U8cZZSd,152600,4,4
Aphrodite's Child,Such A Funny Night,5,spotify:track:6VF1rpkfKqEn7sJObwmdf4,0.672,0.689,5,-9.728,1,0.0281,0.12,0.253,0.188,0.961,101.059,audio_features,6VF1rpkfKqEn7sJObwmdf4,https://api.spotify.com/v1/tracks/6VF1rpkfKqEn7sJObwmdf4,https://api.spotify.com/v1/audio-analysis/6VF1rpkfKqEn7sJObwmdf4,271427,4,4
Offering,Tilim m'dohm,6,spotify:track:4W11XnO92QpoLMX5AmJY66,0.739,0.415,10,-7.698,1,0.0465,0.86,0.934,0.163,0.917,115.799,audio_features,4W11XnO92QpoLMX5AmJY66,https://api.spotify.com/v1/tracks/4W11XnO92QpoLMX5AmJY66,https://api.spotify.com/v1/audio-analysis/4W11XnO92QpoLMX5AmJY66,157733,4,9
altrice,bda creature,10,spotify:track:7vmEKyVtkUBfrHzu7mRZ0E,0.71,0.866,1,-4.891,1,0.0441,0.000855,0.466,0.0607,0.196,126.028,audio_features,7vmEKyVtkUBfrHzu7mRZ0E,https://api.spotify.com/v1/tracks/7vmEKyVtkUBfrHzu7mRZ0E,https://api.spotify.com/v1/audio-analysis/7vmEKyVtkUBfrHzu7mRZ0E,291401,4,7
George Duke,Faces in Reflection No.1,13,spotify:track:6w2OBecz2paQjl8BaFaJXz,0.428,0.265,1,-15.486,1,0.0292,0.0356,0.835,0.28,0.323,137.952,audio_features,6w2OBecz2paQjl8BaFaJXz,https://api.spotify.com/v1/tracks/6w2OBecz2paQjl8BaFaJXz,https://api.spotify.com/v1/audio-analysis/6w2OBecz2paQjl8BaFaJXz,220502,4,7
George Duke,Faces in Reflection No.2,11,spotify:track:11XuuxCm0NJoa9yzGG0SUs,0.407,0.222,4,-17.839,1,0.0347,0.413,0.0185,0.154,0.427,138.745,audio_features,11XuuxCm0NJoa9yzGG0SUs,https://api.spotify.com/v1/tracks/11XuuxCm0NJoa9yzGG0SUs,https://api.spotify.com/v1/audio-analysis/11XuuxCm0NJoa9yzGG0SUs,142115,4,5
645AR,Yoga,45,spotify:track:2DiybJZJGXyV1UYmngo3eq,0.864,0.613,2,-6.505,1,0.781,0.038,0.0,0.123,0.169,150.067,audio_features,2DiybJZJGXyV1UYmngo3eq,https://api.spotify.com/v1/tracks/2DiybJZJGXyV1UYmngo3eq,https://api.spotify.com/v1/audio-analysis/2DiybJZJGXyV1UYmngo3eq,91200,4,0
Apple & The Three Oranges,Love Brings Out the Best of You,19,spotify:track:62E51AuIcDO7JTeD0WbUOB,0.499,0.953,0,-6.284,1,0.162,0.71,0.00111,0.66,0.725,102.269,audio_features,62E51AuIcDO7JTeD0WbUOB,https://api.spotify.com/v1/tracks/62E51AuIcDO7JTeD0WbUOB,https://api.spotify.com/v1/audio-analysis/62E51AuIcDO7JTeD0WbUOB,116040,4,1
Daphni,Always There,38,spotify:track:0vq5vqbGfNydG2XaSBVRxx,0.769,0.544,5,-10.571,1,0.0377,0.185,0.0371,0.173,0.555,131.987,audio_features,0vq5vqbGfNydG2XaSBVRxx,https://api.spotify.com/v1/tracks/0vq5vqbGfNydG2XaSBVRxx,https://api.spotify.com/v1/audio-analysis/0vq5vqbGfNydG2XaSBVRxx,221846,4,2
Steve Tibbetts,The Big Wind,13,spotify:track:7d7haIWwJBgljmm4yWIGma,0.432,0.126,5,-26.517,1,0.0646,0.924,0.815,0.116,0.0893,90.311,audio_features,7d7haIWwJBgljmm4yWIGma,https://api.spotify.com/v1/tracks/7d7haIWwJBgljmm4yWIGma,https://api.spotify.com/v1/audio-analysis/7d7haIWwJBgljmm4yWIGma,498480,3,5
Joe Chambers,The Almoravid,8,spotify:track:3165FuiO33cbJdCjpgvj2u,0.419,0.466,0,-15.283,0,0.039,0.76,0.582,0.124,0.819,102.628,audio_features,3165FuiO33cbJdCjpgvj2u,https://api.spotify.com/v1/tracks/3165FuiO33cbJdCjpgvj2u,https://api.spotify.com/v1/audio-analysis/3165FuiO33cbJdCjpgvj2u,476067,4,5
Dean Blunt,AVAILABLE,21,spotify:track:0wdzoAng9jVm135xlpBWY2,0.512,0.64,7,-13.197,0,0.0427,0.0378,0.68,0.109,0.485,172.052,audio_features,0wdzoAng9jVm135xlpBWY2,https://api.spotify.com/v1/tracks/0wdzoAng9jVm135xlpBWY2,https://api.spotify.com/v1/audio-analysis/0wdzoAng9jVm135xlpBWY2,100963,4,3
Caribou,Never Come Back - Floating Points Remix,0,spotify:track:0fEJLdDuIyJP3FUqgPN9Ud,0.776,0.736,6,-12.301,1,0.0913,0.00114,0.878,0.0835,0.353,128.998,audio_features,0fEJLdDuIyJP3FUqgPN9Ud,https://api.spotify.com/v1/tracks/0fEJLdDuIyJP3FUqgPN9Ud,https://api.spotify.com/v1/audio-analysis/0fEJLdDuIyJP3FUqgPN9Ud,530324,4,9
Lotte Kærså & Græsrødderne,Prøv og Gør Ligesom Jeg,0,spotify:track:3mJe2RASlhftyBH13uxGNl,0.921,0.233,7,-16.077,1,0.13,0.843,4.81e-06,0.0903,0.682,120.932,audio_features,3mJe2RASlhftyBH13uxGNl,https://api.spotify.com/v1/tracks/3mJe2RASlhftyBH13uxGNl,https://api.spotify.com/v1/audio-analysis/3mJe2RASlhftyBH13uxGNl,172334,4,5
Alogte Oho & His Sounds of Joy,Mam Yinne Wa,38,spotify:track:08k6ZsTPo7ws120ty9nvHM,0.397,0.507,5,-5.478,0,0.0767,0.583,0.0875,0.205,0.705,179.687,audio_features,08k6ZsTPo7ws120ty9nvHM,https://api.spotify.com/v1/tracks/08k6ZsTPo7ws120ty9nvHM,https://api.spotify.com/v1/audio-analysis/08k6ZsTPo7ws120ty9nvHM,235250,4,3
African Head Charge,Off The Beaten Track,29,spotify:track:06pdZZFku2pl3RD7Jf6EHE,0.462,0.88,10,-6.197,0,0.139,0.0515,0.688,0.112,0.523,145.309,audio_features,06pdZZFku2pl3RD7Jf6EHE,https://api.spotify.com/v1/tracks/06pdZZFku2pl3RD7Jf6EHE,https://api.spotify.com/v1/audio-analysis/06pdZZFku2pl3RD7Jf6EHE,304373,4,9
