danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.506,0.388,3,-12.93,0.0332,0.918,0.656,0.227,0.305,149.898,169613,4
0.581,0.734,11,-7.613,0.0535,0.000164,0.875,0.18,0.532,124.996,369840,4
0.786,0.905,9,-6.334,0.146,0.000994,0.921,0.108,0.204,130.011,341538,4
0.758,0.822,6,-8.488,0.0875,0.000554,0.907,0.104,0.407,135.009,363853,4
0.786,0.538,1,-12.98,0.0599,0.000263,0.897,0.0818,0.0932,123.961,570587,3
0.85,0.608,3,-10.493,0.0537,0.00296,0.848,0.135,0.651,125.192,496084,4
0.5,0.783,6,-8.522,0.0797,0.718,0.000291,0.173,0.849,99.746,322160,4
0.62,0.776,0,-9.94,0.0765,0.367,0.000338,0.353,0.846,98.493,250293,4
0.683,0.743,5,-7.379,0.0325,0.706,0.633,0.211,0.883,115.079,278040,4
0.414,0.932,11,-5.397,0.3,0.00335,0.231,0.795,0.513,130.203,248267,4
0.904,0.564,9,-8.644,0.118,0.0298,0.892,0.142,0.833,115.029,146867,4
0.688,0.894,7,-4.683,0.065,0.416,0.000373,0.317,0.963,109.622,273934,4
0.811,0.725,9,-10.088,0.0513,0.123,0.0,0.258,0.843,112.839,264000,4
0.769,0.787,11,-3.909,0.367,0.189,0.0,0.129,0.836,126.77,159715,4
0.875,0.658,0,-3.641,0.359,0.275,0.0,0.122,0.661,92.038,274093,4
0.397,0.408,7,-7.01,0.0381,0.489,0.00128,0.116,0.0313,130.383,248640,3
0.786,0.394,10,-15.961,0.12,0.0987,0.702,0.0749,0.208,102.59,154427,4
0.251,0.0323,2,-21.492,0.0357,0.969,0.931,0.102,0.0344,130.017,752337,4
0.644,0.508,8,-18.74,0.0384,0.883,0.461,0.173,0.361,132.806,137887,4
0.364,0.41,4,-17.962,0.0417,0.0049,0.964,0.151,0.341,145.799,311697,4
0.626,0.541,8,-16.217,0.0374,0.882,0.719,0.172,0.519,79.985,235707,4
0.484,0.571,7,-10.02,0.0486,0.569,0.752,0.125,0.448,114.801,585952,4
0.792,0.697,9,-9.027,0.0351,0.867,0.601,0.232,0.934,140.03,309093,4
0.748,0.689,6,-7.084,0.046,0.238,3.9e-06,0.313,0.734,121.96,314886,4
0.773,0.776,7,-9.67,0.0636,0.325,0.858,0.143,0.782,116.207,295892,4
0.726,0.502,1,-11.316,0.134,0.0587,0.00105,0.119,0.516,102.447,383191,4
0.278,0.239,0,-18.171,0.0463,0.987,0.873,0.266,0.102,89.63,60013,4
0.725,0.688,1,-9.45,0.0572,0.391,0.65,0.114,0.638,100.006,245960,4
0.621,0.469,1,-8.58,0.0568,0.197,0.151,0.727,0.853,157.2,142824,4
0.707,0.863,11,-7.469,0.056,0.000576,0.893,0.236,0.735,108.022,113347,4
0.784,0.706,6,-15.34,0.0648,5.7e-05,0.943,0.0892,0.96,138.242,62093,4
0.177,0.22,1,-18.357,0.0358,0.944,0.871,0.0953,0.0813,85.166,477960,3
0.664,0.643,9,-6.773,0.0299,0.0759,8.99e-05,0.134,0.537,115.198,235896,4
0.457,0.87,8,-5.894,0.22,0.404,2.82e-05,0.0297,0.773,206.405,164560,4
0.637,0.501,9,-10.364,0.0688,0.292,0.788,0.102,0.513,145.635,157798,4
0.766,0.559,11,-12.426,0.0519,0.0374,0.893,0.111,0.82,159.203,198037,1
0.308,0.314,7,-11.999,0.0306,0.897,0.579,0.0906,0.215,79.903,234235,4
0.377,0.65,2,-5.902,0.029,0.00174,5.75e-05,0.107,0.365,180.074,192467,4
0.358,0.596,3,-11.906,0.224,0.147,0.0,0.212,0.484,178.008,246160,4
0.442,0.71,7,-5.142,0.684,0.0264,0.0,0.618,0.508,205.116,167908,4
0.581,0.483,7,-11.679,0.36,0.319,0.12,0.843,0.812,87.748,201850,4
0.563,0.641,8,-8.159,0.148,0.686,0.00305,0.0727,0.539,94.512,343547,4
0.71,0.832,4,-9.759,0.0371,0.592,0.924,0.098,0.282,128.99,475639,4
0.829,0.928,2,-8.641,0.0833,0.0136,0.0201,0.317,0.522,123.999,293859,4
0.776,0.684,5,-8.934,0.0367,0.405,0.559,0.0663,0.655,127.979,305480,4
0.784,0.893,1,-6.178,0.0647,0.0168,0.769,0.574,0.382,122.042,359000,4
0.667,0.83,11,-9.664,0.0392,0.839,0.814,0.129,0.727,103.016,507961,4
0.692,0.852,0,-9.101,0.0402,0.000829,0.859,0.123,0.193,131.993,321000,4
0.583,0.796,1,-7.546,0.0324,0.225,0.0822,0.145,0.161,92.044,217667,4
0.709,0.491,6,-13.74,0.0968,0.959,0.949,0.361,0.81,92.477,381320,4
0.305,0.364,0,-12.858,0.0273,0.69,0.252,0.361,0.159,163.372,136562,4
0.644,0.672,0,-5.342,0.0278,0.164,0.346,0.0947,0.208,130.054,216389,4
0.501,0.786,5,-14.434,0.0447,0.0548,0.934,0.107,0.854,110.385,234430,4
0.587,0.927,2,-6.456,0.0386,0.323,0.00191,0.282,0.665,100.929,281840,4
0.766,0.659,8,-6.62,0.0448,0.159,0.0227,0.11,0.484,86.06,626816,4
0.498,0.607,8,-11.273,0.0919,0.317,0.709,0.106,0.495,122.35,213133,4
0.397,0.328,11,-11.115,0.0646,0.691,0.000621,0.364,0.0829,100.513,157080,4
0.724,0.463,6,-13.607,0.0337,0.704,0.94,0.14,0.563,106.091,115733,4
0.312,0.334,2,-17.203,0.0989,0.78,0.128,0.121,0.306,75.879,130000,3
0.458,0.602,10,-9.274,0.179,0.0502,2e-06,0.21,0.537,170.017,169680,4
0.578,0.583,3,-7.866,0.028,0.465,8.68e-06,0.108,0.754,82.905,120133,4
0.694,0.796,5,-3.696,0.198,0.0713,0.0163,0.096,0.592,78.033,166120,4
0.861,0.647,7,-7.425,0.0675,0.594,0.661,0.114,0.67,158.037,133680,4
0.654,0.402,1,-9.318,0.522,0.0354,0.00305,0.109,0.548,205.865,188945,4
0.733,0.687,1,-10.487,0.0444,0.0224,0.702,0.0648,0.526,125.752,278708,4
0.422,0.851,11,-4.031,0.0398,0.0339,0.0,0.152,0.667,93.649,259301,4
0.402,0.681,1,-6.169,0.0333,0.00476,2.89e-06,0.243,0.412,126.493,165907,4
0.359,0.491,11,-14.425,0.0328,0.923,0.93,0.0931,0.437,127.285,712774,4
0.753,0.62,6,-6.852,0.0526,0.779,0.0626,0.131,0.465,130.016,177560,4
0.628,0.757,10,-8.141,0.0389,0.345,0.318,0.194,0.971,109.514,313480,4
0.752,0.678,4,-5.075,0.0448,0.252,0.0,0.145,0.633,130.145,230080,4
0.583,0.719,9,-7.08,0.0905,0.749,1.17e-05,0.18,0.905,118.671,228547,4
0.667,0.462,7,-12.541,0.0325,0.734,0.00548,0.0339,0.617,89.556,744907,4
0.737,0.818,1,-9.325,0.0462,0.0201,0.896,0.0851,0.471,116.078,171200,4
0.786,0.921,0,-6.842,0.101,0.0552,0.00181,0.0629,0.628,118.373,381040,4
0.299,0.263,9,-13.207,0.0323,0.968,0.857,0.126,0.113,137.848,384439,3
0.622,0.644,8,-7.537,0.029,0.0891,0.972,0.22,0.628,122.015,302900,4
0.912,0.587,7,-7.395,0.0582,0.0394,0.01,0.111,0.435,143.027,179022,4
0.823,0.813,7,-6.71,0.288,0.0359,0.0,0.0886,0.373,95.012,323303,4
0.649,0.906,11,-7.308,0.119,0.0758,0.882,0.0658,0.315,159.651,366115,4
0.611,0.338,5,-16.346,0.037,0.923,0.83,0.108,0.752,105.092,448560,3
0.799,0.592,8,-5.421,0.373,0.142,0.0,0.0466,0.913,83.99,190800,4
0.575,0.229,8,-20.887,0.0275,0.837,0.0545,0.0786,0.255,92.338,259487,4
0.687,0.796,0,-9.623,0.103,0.00209,7.55e-05,0.137,0.608,121.263,205664,4
0.758,0.827,8,-16.264,0.0543,1.29e-05,0.93,0.0752,0.606,115.996,178133,4
0.645,0.721,8,-11.129,0.283,0.226,0.192,0.22,0.58,75.938,205125,4
0.61,0.546,4,-14.677,0.0397,0.745,0.937,0.394,0.0599,109.994,245250,4
0.516,0.807,5,-4.876,0.132,0.592,2.46e-06,0.273,0.626,128.359,397587,4
0.196,0.014,0,-20.872,0.0349,0.986,0.93,0.112,0.0645,137.347,143080,1
0.711,0.646,1,-11.706,0.0584,0.197,0.894,0.0845,0.138,135.018,353680,4
0.8,0.586,2,-9.633,0.0601,0.00822,0.773,0.0846,0.126,115.62,340160,4
0.336,0.344,7,-12.969,0.0292,0.293,0.0209,0.0733,0.43,150.054,194947,3
0.722,0.364,5,-13.393,0.0707,0.363,0.0,0.339,0.6,108.377,293147,4
0.576,0.764,2,-10.799,0.188,0.418,0.0749,0.0667,0.823,126.048,479630,4
0.236,0.369,11,-25.707,0.0674,0.947,0.892,0.09,0.058,99.344,218040,4
0.623,0.375,8,-12.125,0.237,0.333,0.0169,0.0731,0.731,146.705,315813,4
0.712,0.773,7,-7.52,0.295,0.0216,1.69e-05,0.0389,0.744,181.835,248133,4
0.375,0.722,7,-6.7,0.243,0.1,0.00336,0.633,0.612,90.712,258587,4
0.696,0.913,1,-5.639,0.0394,0.00343,0.0567,0.311,0.613,118.032,315507,4
0.737,0.642,0,-7.178,0.0807,0.0772,0.84,0.113,0.459,131.959,280000,4
